hex,count_good_aircraft,count_bad_aircraft
8408ad5ffffffff,5,0
8408ad7ffffffff,4,0
8408ad9ffffffff,4,0
8408adbffffffff,4,0
8408addffffffff,8,0
8408ae1ffffffff,7,0
8408ae3ffffffff,9,0
8408ae5ffffffff,7,0
8408ae7ffffffff,8,0
8408ae9ffffffff,8,0
8408aebffffffff,5,0
8408aedffffffff,9,0
8408b01ffffffff,58,0
8408b03ffffffff,52,0
8408b05ffffffff,33,0
8408b07ffffffff,30,0
8408b09ffffffff,38,0
8408b0bffffffff,34,0
8408b0dffffffff,63,0
8408b11ffffffff,36,0
8408b13ffffffff,47,0
8408b15ffffffff,54,1
8408b17ffffffff,58,0
8408b19ffffffff,12,0
8408b1bffffffff,28,0
8408b1dffffffff,27,0
8408b21ffffffff,85,0
8408b23ffffffff,88,3
8408b25ffffffff,75,2
8408b27ffffffff,76,1
8408b29ffffffff,64,0
8408b2bffffffff,60,0
8408b2dffffffff,90,0
8408b31ffffffff,94,0
8408b33ffffffff,104,0
8408b35ffffffff,94,0
8408b37ffffffff,86,0
8408b39ffffffff,40,0
8408b3bffffffff,64,0
8408b3dffffffff,83,0
8408b41ffffffff,46,0
8408b43ffffffff,25,0
8408b45ffffffff,53,0
8408b47ffffffff,38,0
8408b49ffffffff,41,0
8408b4bffffffff,43,0
8408b4dffffffff,62,0
8408b51ffffffff,14,0
8408b53ffffffff,9,0
8408b55ffffffff,18,0
8408b57ffffffff,7,0
8408b59ffffffff,18,0
8408b5bffffffff,15,0
8408b5dffffffff,18,0
8408b61ffffffff,46,0
8408b63ffffffff,43,0
8408b65ffffffff,65,0
8408b67ffffffff,65,0
8408b69ffffffff,79,0
8408b6bffffffff,63,1
8408b6dffffffff,46,0
8408c01ffffffff,1,0
8408c03ffffffff,3,0
8408c05ffffffff,6,0
8408c07ffffffff,9,1
8408c09ffffffff,1,0
8408c0bffffffff,1,0
8408c0dffffffff,3,0
8408c11ffffffff,7,0
8408c15ffffffff,5,0
8408c17ffffffff,2,0
8408c19ffffffff,3,0
8408c1bffffffff,5,0
8408c1dffffffff,3,0
8408c21ffffffff,14,0
8408c23ffffffff,13,0
8408c25ffffffff,15,0
8408c27ffffffff,10,0
8408c29ffffffff,12,0
8408c2bffffffff,18,0
8408c2dffffffff,9,0
8408c31ffffffff,22,0
8408c33ffffffff,3,0
8408c35ffffffff,9,0
8408c37ffffffff,3,0
8408c39ffffffff,7,0
8408c3bffffffff,2,0
8408c3dffffffff,22,0
8408c41ffffffff,6,0
8408c43ffffffff,5,0
8408c45ffffffff,6,0
8408c47ffffffff,5,0
8408c49ffffffff,5,0
8408c4bffffffff,7,0
8408c4dffffffff,3,0
8408c51ffffffff,1,0
8408c53ffffffff,1,0
8408c55ffffffff,2,0
8408c57ffffffff,3,0
8408c59ffffffff,2,0
8408c5bffffffff,1,0
8408c5dffffffff,4,0
8408c61ffffffff,7,0
8408c63ffffffff,5,0
8408c65ffffffff,7,0
8408c67ffffffff,6,0
8408c69ffffffff,16,0
8408c6bffffffff,6,0
8408c6dffffffff,15,0
8408c93ffffffff,2,0
8408ca5ffffffff,1,1
8408cc1ffffffff,2,1
8408cc3ffffffff,2,1
8408cc5ffffffff,1,0
8408cc9ffffffff,2,0
8408ccdffffffff,4,0
8408ce1ffffffff,3,0
8408ce3ffffffff,2,0
